날짜,번호1,번호2,번호3,번호4,번호5,번호6,보너스
2016.07.30,2,5,15,18,19,23,44
2016.07.23,17,20,30,31,33,45,19
2016.07.16,11,15,24,35,37,45,42
2016.07.09,3,4,9,24,25,33,10
2016.07.02,10,18,30,36,39,44,32
2016.06.25,2,10,16,19,34,45,1
2016.06.18,2,12,19,24,39,44,35
2016.06.11,3,4,6,10,28,30,37
2016.06.04,1,6,17,22,28,45,23
2016.05.28,1,4,8,23,33,42,45
2016.05.21,10,28,31,33,41,44,21
2016.05.14,3,13,16,24,26,29,9
2016.05.07,3,10,14,16,36,38,35
2016.04.30,11,23,28,29,30,44,13
2016.04.23,4,5,8,16,21,29,3
2016.04.16,3,11,13,21,33,37,18
2016.04.09,2,5,8,11,33,39,31
2016.04.02,1,7,16,18,34,38,21
2016.03.26,4,18,26,33,34,38,14
2016.03.19,7,15,20,25,33,43,12
2016.03.12,1,6,11,28,34,42,30
2016.03.05,3,11,14,15,32,36,44
2016.02.27,15,27,33,35,43,45,16
2016.02.20,24,25,33,34,38,39,43
2016.02.13,7,17,19,30,36,38,34
2016.02.06,5,15,22,23,34,35,2
2016.01.30,1,8,10,13,28,42,45
2016.01.23,7,12,15,24,25,43,13
2016.01.16,6,7,12,28,38,40,18
2016.01.09,1,11,15,17,25,39,40
2016.01.02,6,13,20,27,28,40,15
2015.12.26,17,23,27,35,38,43,2
2015.12.19,21,24,27,29,43,44,7
2015.12.12,4,10,19,29,32,42,30
2015.12.05,3,5,7,14,26,34,35
2015.11.28,4,5,6,12,25,37,45
2015.11.21,12,15,24,36,41,44,42
2015.11.14,1,8,17,34,39,45,27
2015.11.07,1,8,11,15,18,45,7
2015.10.31,9,10,14,25,27,31,11
2015.10.24,7,10,17,29,33,44,5
2015.10.17,8,21,28,31,36,45,43
2015.10.10,7,9,10,13,31,35,24
2015.10.03,11,18,26,27,40,41,25
2015.09.26,7,8,20,29,33,38,9
2015.09.19,12,14,15,24,27,32,3
2015.09.12,15,17,25,37,42,43,13
2015.09.05,2,4,6,11,17,28,16
2015.08.29,5,6,11,17,38,44,13
2015.08.22,10,20,33,36,41,44,5
2015.08.15,3,5,8,19,38,42,20
2015.08.08,5,6,9,11,15,37,26
2015.08.01,2,3,12,20,27,38,40
2015.07.25,4,9,23,33,39,44,14
2015.07.18,7,18,19,27,29,42,45
2015.07.11,8,19,25,28,32,36,37
2015.07.04,10,14,19,39,40,43,23
2015.06.27,3,7,14,16,31,40,39
2015.06.20,7,37,38,39,40,44,18
2015.06.13,16,21,26,31,36,43,6
2015.06.06,5,6,26,27,38,39,1
2015.05.30,3,13,15,40,41,44,20
2015.05.23,11,12,16,26,29,44,18
2015.05.16,3,4,7,11,31,41,35
2015.05.09,3,21,22,33,41,42,20
2015.05.02,13,19,28,37,38,43,4
2015.04.25,5,16,21,23,24,30,29
2015.04.18,2,9,24,41,43,45,30
2015.04.11,1,4,16,26,40,41,31
